Settlement ,URI,URI 2,Museum ,Museum number,Type,Material ,Technique,Gender,Part of,shape,Iconography,Clothes ,Culture Museum Atribution,Date,Period,Heigh ,width,Depth ,Length,Diameter ,weight,Inscription,Language,Find spot,Description,Hair,Function,Reasoned classification,Bibliograhy ,Pleiades URI,URI 3
Gades,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=CE05088&volver=portal&k=gades&tipoBusqueda=simple&lng=es,Museo de Cádiz,CE05088,statue,terracotta,sculpted,Male,,body,soldier,short tunic and helmet,Ibero-roman,1 –100,Ibero-Roman,9,,,,,,,,,"Terracotta figurine representing a warrior standing and standing. The character is a man dressed in a kind of doublet with skirts at the waist. Only part of the legs is preserved, above the knees. They are together and at the point of union has a hole that would connect by a thread with the arms to be able to maneuver from below. The arms, preserved only in their starting, would be arranged in a cross, or in any case, open, and are hollow to be able to pass a thread to which the missing mobile arms would adapt. The head and the face are hidden by a helmet in which the morion, the visor, with two holes that would allow the vision, and the cheeks are clearly distinguished. The upper part of the helmet has two suspension holes. In the back there is a small projection that could serve to hold the figure to another element of which it was part",,playful/funerary,,"LAMO SALINAS, Carmen de. \i1 ´En torno a tres muñecos romanos de Cádiz´.\i0 1983-1984. p. 69; il. II y 1; Boletín del Museo de Cádiz. Descripciones basadas en esta referencia

MUSEO DE CÁDIZ. \i1 Iocosae Gades. Juegos y diversiones en una ciudad romana.\i0 2003. p. 22. Nº cat. 24

QUINTERO ATAURI, Pelayo. \i1 Cádiz, primeros pobladores: hallazgos arqueológicos.\i0 1917. p. 106; il. entre p. 116 y 117. 

VALLEJO SÁNCHEZ, Juan Ignacio. \i1 ´Terracotas romanas representando gladiadores´.\i0 2007. p. 56-57; La mujer en el mundo antiguo.",https://pleiades.stoa.org/places/256177,
Gades,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ23459&volver=portal&k=gades&tipoBusqueda=simple&lng=es,Museo de Cádiz,DJ23459,statue,brown amber,sculpted,Animal,,body,rabbit,,Roman,1 –100,Late Roman empire,,,,"3,8",,,,,,"Figure representing a small animal, of which the legs have not been preserved. It is a quadruped mammal, with well developed hindquarters, a short tail, slightly arched back. The head, raised and facing the front and the top, is small, round and with a pointed muzzle. Only the start of the ears remains from the ears",,playful/funerary,,"MUSEO DE CÁDIZ. \i1 Iocosae Gades. Juegos y diversiones en una ciudad romana.\i0 2003. p. 23. Nº cat. 26

RODRÍGUEZ OLIVA, Pedro. \i1 ´Talleres locales de urnas cinerarias y de sarcófagos en la provincia Hispania Ulterior Baetica´.\i0 2002. p. 281, nota 20; Espacios y usos funerarios en el Occidente romano.
",https://pleiades.stoa.org/places/256177,
Gades,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ23460&volver=portal&k=gades&tipoBusqueda=simple&lng=es,Museo de Cádiz,DJ23460,statue,brown amber,sculpted,Animal,,body,rabbit,,Roman,1 –100,Late Roman empire,,,,"2,7",,,,,,"Figure representing a small animal. It is a quadruped mammal, with its legs - partially preserved - collected under the plump body and without anatomical details. The back of the animal is arched and its head, elongated and with the prominent muzzle, leans forward and down, heading to the ground. There are indications that in its original state, the piece presented on the back of the head a pair of ears, now missing",,playful/funerary,,"MUSEO DE CÁDIZ. \i1 Iocosae Gades. Juegos y diversiones en una ciudad romana.\i0 2003. p. 23. Nº cat. 26

RODRÍGUEZ OLIVA, Pedro. \i1 ´Talleres locales de urnas cinerarias y de sarcófagos en la provincia Hispania Ulterior Baetica´.\i0 2002. p. 281, nota 20; Espacios y usos funerarios en el Occidente romano.",https://pleiades.stoa.org/places/256177,
Gades,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ23461&volver=portal&k=gades&tipoBusqueda=simple&lng=es,Museo de Cádiz,DJ23461,statue,brown amber,sculpted,Animal,,body,rabbit,,Roman,1 –100,Late Roman empire,,,,"3,4",,,,,,"Figure representing a small animal. It is a quadruped mammal, with its legs, small protuberances that barely protrude from the plump body they hold. The animal's back is gently arched and its head is tilted towards the ground, facing forward. It is elongated, with the snout, the mouth, the ears barely drawn and the eyes formed by two tiny cavities
",,playful/funerary,,"MUSEO DE CÁDIZ. \i1 Iocosae Gades. Juegos y diversiones en una ciudad romana.\i0 2003. p. 23. Nº cat. 26

RODRÍGUEZ OLIVA, Pedro. \i1 ´Talleres locales de urnas cinerarias y de sarcófagos en la provincia Hispania Ulterior Baetica´.\i0 2002. p. 281, nota 20; Espacios y usos funerarios en el Occidente romano.",https://pleiades.stoa.org/places/256177,
Gades,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ23462&volver=portal&k=gades&tipoBusqueda=simple&lng=es,Museo de Cádiz,DJ23462,statue,brown amber,sculpted,Animal,,body,animal,,Roman,1 – 100,Late Roman empire,,,,"2,7",,,,,,"Small figure, possible representation of an animal, with barely discernible shapes given its state of conservation. Apparently, the figure had to be sitting or standing on its hind legs, with the back straight, the lower extremities (or later) flexed towards the ground, forming an angle, and the upper ones (or anteriors) seem to go parallel to the front. The head is aligned with the back, has a triangular profile, with a vertex in the occipital part and another that equilvadría the snout",,playful/funerary,,"MUSEO DE CÁDIZ. \i1 Iocosae Gades. Juegos y diversiones en una ciudad romana.\i0 2003. p. 23. Nº cat. 26

RODRÍGUEZ OLIVA, Pedro. \i1 ´Talleres locales de urnas cinerarias y de sarcófagos en la provincia Hispania Ulterior Baetica´.\i0 2002. p. 281, nota 20; Espacios y usos funerarios en el Occidente romano.",https://pleiades.stoa.org/places/256177,
Gades,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ23463&volver=portal&k=gades&tipoBusqueda=simple&lng=es,Museo de Cádiz,DJ23463,statue,brown amber,sculpted,Animal,,body,animal,,Roman,1 – 100,Late Roman empire,,,,"2,8",,,,,,"Figure representing a small animal. It is a quadruped mammal, with its legs, small protuberances that barely protrude from the plump body they hold. The animal's back is gently arched and its head is tilted towards the ground, facing forward. It is elongated, with the snout, the mouth, the ears barely insinuated and the eyes formed by two tiny cavities
",,playful/funerary,,"MUSEO DE CÁDIZ. \i1 Iocosae Gades. Juegos y diversiones en una ciudad romana.\i0 2003. p. 23. Nº cat. 26

RODRÍGUEZ OLIVA, Pedro. \i1 ´Talleres locales de urnas cinerarias y de sarcófagos en la provincia Hispania Ulterior Baetica´.\i0 2002. p. 281, nota 20; Espacios y usos funerarios en el Occidente romano.
",https://pleiades.stoa.org/places/256177,
Gades,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ23464&volver=portal&k=gades&tipoBusqueda=simple&lng=es,Museo de Cádiz,DJ23464,statue,brown amber,sculpted,Animal,,body,eros,,Roman,1 – 100,Late Roman empire,,,,"2,8",,,,,,"Small figure that represents the body of a naked child, erect and in a dancing pose. The head, in which the features of the face and hair are intuited, short and disheveled, raises his chin while turning to his left. The torso rotates towards that same side with respect to the hips. The right arm would rise while the left arm would point to the ground, slightly behind the back. The legs would be disposed the left one advanced and the right more or less aligned with the vertical of the body, if slightly advanced",,playful/funerary,,"MUSEO DE CÁDIZ. \i1 Iocosae Gades. Juegos y diversiones en una ciudad romana.\i0 2003. p. 23. Nº cat. 26

RODRÍGUEZ OLIVA, Pedro. \i1 ´Talleres locales de urnas cinerarias y de sarcófagos en la provincia Hispania Ulterior Baetica´.\i0 2002. p. 281, nota 20; Espacios y usos funerarios en el Occidente romano.",https://pleiades.stoa.org/places/256177,
Gades,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ21991&volver=portal&k=gades&tipoBusqueda=simple&lng=es,Museo de Cádiz,DJ21991,bust,Terracotta,sculpted,Female,,bust,Astarte/Tanit,,Punic,500 – 401 BCE,Punic,47,36,24,,,,,,,"Female bust of terracotta modeled by hand. The head, disproportionate in relation to the rest of the body represented, appears erect and facing forward: straight back nose, large almond-shaped eyes, with empty sockets for later filling, fine and marked eyebrows, mouth parted lips and gesture twisted, soft cheekbones and chin forward. The ears are large, well drawn, with the perforated lobe. A broad forehead is partially concealed by a hairstyle that divides the hair divided at the center into two thick braided strands. Three undulating strands fall on the shoulders. Above the head shows a headband in the shape of a crescent.
The neck is tall and narrow and at its base, at the sides, it has two perforations, possibly intended to hold a necklace or similar piece that falls on the neckline of the one represented. She is dressed in a pleated tunic with V-neckline. The arms, disproportionate and smaller in relation to the head, are folded and collected on the chest. The hands, open and extended with the palms facing up, are at the level of the sternum. In the left hand he holds a small figure of four-legged animal, with a long neck, elongated head with snout, almond-shaped eyes and pointed ears, which leans over the bowl in the form of a sphere segment that he holds with his right hand.
The piece was designed for a basically frontal point of view, so that the back barely molds the volumes and, in the case of the hair, the hairs are drawn through comb incisions. The holes that appear on the sides of the base of the neck come out from the back.
The interior of the bust is essentially hollow, showing walls of considerable thickness",,playful/funerary,,"ALONSO DE LA SIERRA FERNÁNDEZ, Juan; et álii. \i1 Museo de Cádiz: Salas de Colonizaciones. Cuaderno de Difusión.\i0 2003. p. 37-38; il. 56. 

ÁLVAREZ ROJAS, Antonio; CORZO SÁNCHEZ, Ramón. \i1 Cinco nuevas terracotas gaditanas.\i0 1993-1994. p. 68; il. 1; Boletín del Museo de Cádiz. Tomo VI

BLÁZQUEZ MARTÍNEZ, José María. \i1 ´Astarté, señora de los caballos en la Hispania prerromana´.\i0 1997. p. 92; tav. XV, 1; Rivista di Studi Fenici. Tomo XXV, 1

FERRER ALBELDA, Eduardo. \i1 ´Anotaciones sobre el taller cerámico de Gadir´.\i0 1995-1996. p. 64-65; fig. 2.2; 3 y 4; Boletín del Museo de Cádiz. Tomo VII

GILES PACHECO, Francisco; SAMPIETRO, D.. \i1 ´Análisis de terracotas púnicas y sedimentos vírgenes de ´paleosuelos rojos´ hallados en la excavación arqueológica de la calle Juan Ramón Jiménez de Cádiz´.\i0 1993-1994. p. 89-91; ""Como resultado de los análisis, podemos constatar (...) que las terracotas púnicas que nos ocupan han sido modeladas a partir de las materias primas de arcillas y arenas de los cortes geológicos que forman los paleosuelos rojos detectados en el mismo perfil estratigráfico del área excavada de la calle Juan Ramón Jiménez.""; Boletín del Museo de Cádiz. Tomo VI
En el artículo se publican los resultados de analíticas comparadas entre arcillas recogidas en el yacimiento donde aparecieron las terracotas Nº Inv. DJ 21991 a DJ 21995 y la materia prima de las mismas figuras. Las muestras se corresponden.

MARTÍN RUIZ, Juan Antonio. \i1 Los fenicios en Andalucía.\i0 2004. p. 124; il. 170. 

MONEO, Teresa. \i1 Religio Iberica. Santuarios, ritos y divinidades (siglos VII-I a.C.).\i0 2003. p. 432, il. VII.6, 6. 

SIBÓN OLANO, J.. \i1 ´Informe de la excavación del solar de la calle J.R. Jiménez´.\i0 1993-1994. p. 84-85; Boletín del Museo de Cádiz. Tomo VI.
El informe corresponde a la segunda campaña de excavación, en la que se terminó de documentar el solar y sus estratigrafías, fundamentales para datar las terracotas, aparecidas en la primera campaña.

VALLEJO SÁNCHEZ, Juan Ignacio. \i1 ´Bustos de terracota representando divinidades femeninas´.\i0 2007. p. 76-77; La mujer en el mundo antiguo.",https://pleiades.stoa.org/places/256177,
Gades,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=CE04584&volver=portal&k=gades&tipoBusqueda=simple&lng=es,Museo de Cádiz,CE04584,torso,Bronze,sculpted,Male,,torso,emperor,militar clothes,Roman,76 – 200 CE,Late Roman empire,85,,,,,,,,,"The sculpture, made in bronze, appeared very fragmented and incomplete. It represents an emperor in military garb and divinized, as deduced from his bare feet. The proposals of reconstruction of the sculpture interpret it in attitude of ad locutio, asking for silence before the harangue to the troops, relating it with the Augusto of Prima Porta (García and Bellido 1963: 91) or in the position of dominatio, submitting to some fallen enemy (Corzo 1989: 325-326
Mora Piris 1997: 354). Gamer (1968) broadly admits the reconstruction of García and Bellido, although he doubts about the iconographic parity with Augusto de Prima Porta (see Trillmich 1990: 46). He would be standing, with his right arm raised and with his left, partially preserved, flexed and advanced, holding the mantle (of which part of the fall is preserved) on the forearm and holding with his hand half-closed some object (stick, cane or similar).",,Honorific/religious,,"ALMAGRO-GORBEA, Martín; ÁLVAREZ MARTÍNEZ, José María. \i1 Hispania: el legado de Roma. En el año de Trajano.\i0 1999. p. 556. Nº cat. 74. Ficha realizada por Ángel Fuentes Domínguez

ANTONA DEL VAL, Victor; et álii. \i1 La arqueología subacuática en España.\i0 1988. il.p. 93; Por error aparece en el pie de página ""Bronce de época romana encontrado en Almuñécar, Granada"". 

ARCE, Javier; et álii. \i1 Los bronces romanos en España.\i0 1990. p. 20-21, 184-185. nº cat. 41

CORZO SÁNCHEZ, Ramón. \i1 La Antigüedad.\i0 1989. p. 325-326; il. 269; Historia del Arte en Andalucía. 

GAMER, Gustav. \i1 ´Estatuas militares de los campamentos militares romanos´.\i0 1970. p. 130; Archivo Español de Arqueología. Tomo 43, 121-122

GARBARINO GAINZA, Cándida; et álii. \i1 Museo de Cádiz. Guía oficial.\i0 2004. p. 72-74; ""(...) En el Museo de Cádiz se conserva buena parte del brazo derecho, sin articulación posible con la coraza al faltar parte del antebrazo, y lo que se ha venido considerando que era la pierna derecha. Actualmente esta pierna no está expuesta al público porque, o bien la restauración de los lambrequines es incorrecta o bien la pierna no corresponde a la coraza pero, de ninguna manera se articulan ambas de manera y postura natural. En nuestra opinión, los lambrequines situados actualmente en la cara anterior de la estatua corresponden a la zona posterior puesto que no presentan los pliegues inevitables en una pierna derecha que se adelanta al eje vertical. Será preciso, en todo caso, analizar a fondo esta famosa pieza ya que no parece posible, por ahora, recuperar más fragmentos del caño de Sancti Petri."". 

GARCÍA ALFONSO, Eduardo; MARTÍNEZ, Virgilio; MORGADO, Antoni. \i1 ´Museo de Cádiz. Sección Arqueología´.\i0 1995. p. 63-64; Museos Arqueológicos de Andalucía. 

GARCÍA; BELLIDO, Antonio. \i1 ´Hercvles Gaditanvs´.\i0 1963. p. 90-91; il. 14-16; Archivo Español de Arqueología. Tomo 36, 107-108

GONZÁLEZ ANTÓN, Rafael; CHAVES TRISTÁN, Francisca. \i1 Fortunatae Insulae. Canarias y el Mediterráneo.\i0 2004. p. 227; Catálogo de la exposición homónima (Santa Cruz de Tenerife, 15/10/2004 a 9/01/2005). 

MORA PIRIS, Pedro. \i1 ´Las thoracatas. Exponente singular de la escultura militar romana´.\i0 1997. p. 354; il.p. 347; La Guerra en la Antigüedad. Una aproximación al origen de los ejércitos en Hispania. 

PICARD, G.. \i1 Une statue d´Imperator Romain à Gades.\i0 1965. p. 181-190; Comptes Rendus de l´Academie des Inscriptions et Belles-Letres. 

QUINTERO ATAURI, Pelayo. \i1 Excavaciones en Extramuros de Cádiz. Memorias de las excavaciones practicadas en 1925-26.\i0 1926. p. 6-8; lám. VII b, plano 1; Memorias de la Junta Superior de Excavaciones y Antigüedades. Incluye un plano de situación del lugar del hallazgo

RODRÍGUEZ OLIVA, Pedro. \i1 ´Ciclos escultóricos de la casa y de la ciudad de la Bética´.\i0 1993. p. 31-33; Actas de la I Reunión sobre escultura romana en Hispania (Mérida 1992). 

ROMERO DE TORRES, Enrique. \i1 Catálogo Monumental de España. Provincia de Cádiz (1908-1909).\i0 1934. p. 101-102; il. 58. 

TRILLMICH, Walter. \i1 ´Apuntes sobre algunos retratos en bronce de la Hispania romana´.\i0 1990. p. 46-47; ""(...) Opino, por ejemplo, que la máscara de Okeanos, montada en el pecho, no nos debe inducir a atribuir la estatua a un taller norteafricano. (...)""; Los bronces romanos en España. 

VERMUELE, Cornelius Clarkson. \i1 Hellenistic and Roman cuirassed statues : the evidence of paintings and reliefs in the chronological development of cuirass types.\i0 1966. p. 51; il. 10, 6.7; Berytus.
",https://pleiades.stoa.org/places/256177,
Gades,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ21992&volver=portal&k=gades&tipoBusqueda=simple&lng=es,Museo de Cádiz,,bust,Terracotta,sculpted,Female,,bust,Astarte/Tanit,tunic,Punic,500 – 401 BCE,Punic,51,35,21,,,,,,,"Female hand made of terracotta. The head, disproportionate in relation to the rest of the body represented, appears erect and facing forward: straight back nose, large almond-shaped eyes, with empty sockets for later filling, fine and marked eyebrows, lips parted, inexpressive
soft cheekbones and chin forward. The ears are large, well drawn, with the perforated lobe. A broad forehead is partially concealed by a hairstyle that divides the hair divided at the center into two thick braided strands. On these tufts, in front of the crown-shaped headband, two small semicircular appendages with a straight cut at the ends, representing small wings, can be seen. Three undulating strands fall on the shoulders.
The neck is narrow and at its base, on the sides, has two perforations, possibly intended to hold a necklace or similar piece that falls on the neckline of the represented. She is dressed in a pleated tunic with a V-neckline, showing the modeling of her right breast beneath her. The right arm, disproportionate and smaller as the other in relation to the head, appear raised vertically, showing the palm of the open hand in front. The left arm is folded up on the chest and holding a container that surrounds with fingers and a conical lid that ensures with the thumb. At the height of the dolls, there are two bracelets or, more likely, the top of the sleeves of the garment, in the form of a simple braid.
The piece was designed for a basically frontal point of view, so that the back barely molds the volumes and, in the case of the hair, the hairs are drawn through comb incisions. The holes that appear on the sides of the base of the neck come out from the back.
The interior of the bust is essentially hollow, showing walls of considerable thickness.",,Religious,,"ALONSO DE LA SIERRA FERNÁNDEZ, Juan; et álii. \i1 Museo de Cádiz: Salas de Colonizaciones. Cuaderno de Difusión.\i0 2003. p. 37-38. 

ÁLVAREZ ROJAS, Antonio; CORZO SÁNCHEZ, Ramón. \i1 Cinco nuevas terracotas gaditanas.\i0 1993-1994. p. 69; il. 4; Boletín del Museo de Cádiz. Tomo VI

FERRER ALBELDA, Eduardo. \i1 ´Anotaciones sobre el taller cerámico de Gadir´.\i0 1995-1996. p. 64-65; il. 4; Boletín del Museo de Cádiz. Tomo VII

GILES PACHECO, Francisco; SAMPIETRO, D.. \i1 ´Análisis de terracotas púnicas y sedimentos vírgenes de ´paleosuelos rojos´ hallados en la excavación arqueológica de la calle Juan Ramón Jiménez de Cádiz´.\i0 1993-1994. p. 89-91; ""Como resultado de los análisis, podemos constatar (...) que las terracotas púnicas que nos ocupan han sido modeladas a partir de las materias primas de arcillas y arenas de los cortes geológicos que forman los paleosuelos rojos detectados en el mismo perfil estratigráfico del área excavada de la calle Juan Ramón Jiménez.""; Boletín del Museo de Cádiz. Tomo VI
En el artículo se publican los resultados de analíticas comparadas entre arcillas recogidas en el yacimiento donde aparecieron las terracotas Nº Inv. DJ 21991 a DJ 21995 y la materia prima de las mismas figuras. Las muestras se corresponden.

SIBÓN OLANO, J.. \i1 ´Informe de la excavación del solar de la calle J.R. Jiménez´.\i0 1993-1994. p. 84-85; Boletín del Museo de Cádiz. Tomo VI.
El informe corresponde a la segunda campaña de excavación, en la que se terminó de documentar el solar y sus estratigrafías, fundamentales para datar las terracotas, aparecidas en la primera campaña.

VALLEJO SÁNCHEZ, Juan Ignacio. \i1 ´Bustos de terracota representando divinidades femeninas´.\i0 2007. p. 76-77; La mujer en el mundo antiguo.
",https://pleiades.stoa.org/places/256177,
Gades,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ21993&volver=portal&k=gades&tipoBusqueda=simple&lng=es,Museo de Cádiz,,bust,Terracotta,sculpted,Female,,bust,Astarte/Tanit,tunic,Punic,500 – 401 BCE,Punic,22,,,,,,,,,"Terracotta modeled by hand representing a female torso. The head, disproportionate in relation to the rest of the body represented, appears erect and facing forward: straight back nose, large almond-shaped eyes, with empty sockets for later filling, fine and marked eyebrows, very arched, lips mouth half open, expressionless, with the corners down
soft cheekbones and chin forward. The ears are large with the perforated lobe. A short forehead is partially concealed by a hairstyle that divides the hair divided at the center into two thick braided strands. After these strands, the head is crowned by a headband in the shape of a crescent. Undulating strands fall on the shoulders. The neck is somewhat short and wide and at its base, on the sides, has two perforations, possibly intended to hold a necklace or similar piece that falls on the neckline of the represented.
She is dressed in a pleated tunic with a V-neck, appreciating the soft and subdued modeling of the breasts beneath her, accentuated by the curvature of the folds. The arms are attached to the body and covered by the same garment, with the oblique folds.
The piece was designed for a basically frontal point of view, so that the back barely molds the volumes and, in the case of the hair, the hairs are drawn through comb incisions. The holes that appear on the sides of the base of the neck come out from the back.
The interior of the bust is essentially hollow, showing walls of considerable thickness",,Religious,,"ALONSO DE LA SIERRA FERNÁNDEZ, Juan; et álii. \i1 Museo de Cádiz: Salas de Colonizaciones. Cuaderno de Difusión.\i0 2003. p. 37-38. 

ÁLVAREZ ROJAS, Antonio; CORZO SÁNCHEZ, Ramón. \i1 Cinco nuevas terracotas gaditanas.\i0 1993-1994. p. 69; il. 3; Boletín del Museo de Cádiz. Tomo VI

FERRER ALBELDA, Eduardo. \i1 ´Anotaciones sobre el taller cerámico de Gadir´.\i0 1995-1996. p. 64-65; il. 3; Boletín del Museo de Cádiz. Tomo VII

GILES PACHECO, Francisco; SAMPIETRO, D.. \i1 ´Análisis de terracotas púnicas y sedimentos vírgenes de ´paleosuelos rojos´ hallados en la excavación arqueológica de la calle Juan Ramón Jiménez de Cádiz´.\i0 1993-1994. p. 89-91; ""Como resultado de los análisis, podemos constatar (...) que las terracotas púnicas que nos ocupan han sido modeladas a partir de las materias primas de arcillas y arenas de los cortes geológicos que forman los paleosuelos rojos detectados en el mismo perfil estratigráfico del área excavada de la calle Juan Ramón Jiménez.""; Boletín del Museo de Cádiz. Tomo VI
En el artículo se publican los resultados de analíticas comparadas entre arcillas recogidas en el yacimiento donde aparecieron las terracotas Nº Inv. DJ 21991 a DJ 21995 y la materia prima de las mismas figuras. Las muestras se corresponden.

SIBÓN OLANO, J.. \i1 ´Informe de la excavación del solar de la calle J.R. Jiménez´.\i0 1993-1994. p. 84-85; Boletín del Museo de Cádiz. Tomo VI.
El informe corresponde a la segunda campaña de excavación, en la que se terminó de documentar el solar y sus estratigrafías, fundamentales para datar las terracotas, aparecidas en la primera campaña.

VALLEJO SÁNCHEZ, Juan Ignacio. \i1 ´Bustos de terracota representando divinidades femeninas´.\i0 2007. p. 76-77; La mujer en el mundo antiguo.
",https://pleiades.stoa.org/places/256177,
Gades,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ21994&volver=portal&k=gades&tipoBusqueda=simple&lng=es,Museo de Cádiz,,bust,Terracotta,sculpted,Female,,bust,Astarte/Tanit,tunic,Punic,500 – 401 BCE,Punic,21,,,,,,,,,"Terracotta modeled by hand representing a female torso. The head, disproportionate to the rest of the body represented, appears erect and facing forward: straight back nose, large almond-shaped eyes, with empty sockets for later filling, fine and marked eyebrows, very arched, lips mouth half open, expressionless, with the twisted gesture
soft cheekbones and chin forward. The ears are large with the perforated lobe. A short forehead is partially concealed by a hairstyle that divides the hair divided at the center into two thick braided strands. After these strands, the head is crowned by a headband in the shape of a crescent. Undulating strands fall on the shoulders. The neck is somewhat short and wide and at its base, on the sides, has two perforations, possibly intended to hold a necklace or similar piece that falls on the neckline of the represented.
She is dressed in a pleated tunic with a V-neck, appreciating the soft and subdued modeling of the breasts beneath her, accentuated by the curvature of the folds. The arms are attached to the body and covered by the same garment, with the oblique folds.
The piece was designed for a basically frontal point of view, so that the back barely molds the volumes and, in the case of the hair, the hairs are drawn through comb incisions. The holes that appear on the sides of the base of the neck come out from the back.
The interior of the bust is essentially hollow, showing walls of considerable thickness",,Religious,,"ALONSO DE LA SIERRA FERNÁNDEZ, Juan; et álii. \i1 Museo de Cádiz: Salas de Colonizaciones. Cuaderno de Difusión.\i0 2003. p. 37-38. 

ÁLVAREZ ROJAS, Antonio; CORZO SÁNCHEZ, Ramón. \i1 Cinco nuevas terracotas gaditanas.\i0 1993-1994. p. 69; il. 4; Boletín del Museo de Cádiz. Tomo VI

FERRER ALBELDA, Eduardo. \i1 ´Anotaciones sobre el taller cerámico de Gadir´.\i0 1995-1996. p. 64-65; il. 4; Boletín del Museo de Cádiz. Tomo VII

GILES PACHECO, Francisco; SAMPIETRO, D.. \i1 ´Análisis de terracotas púnicas y sedimentos vírgenes de ´paleosuelos rojos´ hallados en la excavación arqueológica de la calle Juan Ramón Jiménez de Cádiz´.\i0 1993-1994. p. 89-91; ""Como resultado de los análisis, podemos constatar (...) que las terracotas púnicas que nos ocupan han sido modeladas a partir de las materias primas de arcillas y arenas de los cortes geológicos que forman los paleosuelos rojos detectados en el mismo perfil estratigráfico del área excavada de la calle Juan Ramón Jiménez.""; Boletín del Museo de Cádiz. Tomo VI
En el artículo se publican los resultados de analíticas comparadas entre arcillas recogidas en el yacimiento donde aparecieron las terracotas Nº Inv. DJ 21991 a DJ 21995 y la materia prima de las mismas figuras. Las muestras se corresponden.

SIBÓN OLANO, J.. \i1 ´Informe de la excavación del solar de la calle J.R. Jiménez´.\i0 1993-1994. p. 84-85; Boletín del Museo de Cádiz. Tomo VI.
El informe corresponde a la segunda campaña de excavación, en la que se terminó de documentar el solar y sus estratigrafías, fundamentales para datar las terracotas, aparecidas en la primera campaña.

VALLEJO SÁNCHEZ, Juan Ignacio. \i1 ´Bustos de terracota representando divinidades femeninas´.\i0 2007. p. 76-77; La mujer en el mundo antiguo",https://pleiades.stoa.org/places/256177,
